iter	Passed	Remaining
0	0	88
1	1	76
2	2	71
3	2	65
4	3	65
5	4	64
6	5	67
7	6	70
8	7	72
9	8	72
10	8	71
11	9	70
12	10	68
13	10	67
14	11	65
15	12	64
16	13	63
17	13	62
18	14	61
19	15	60
20	15	59
21	16	58
22	17	57
23	17	56
24	18	56
25	19	55
26	20	54
27	21	54
28	21	53
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	26	47
36	27	46
37	28	45
38	28	45
39	29	44
40	30	43
41	30	41
42	31	41
43	31	40
44	32	39
45	33	38
46	33	37
47	34	37
48	34	36
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	42	28
60	42	27
61	43	26
62	43	25
63	44	25
64	45	24
65	45	23
66	46	22
67	47	22
68	48	21
69	48	20
70	49	20
71	50	19
72	50	18
73	51	18
74	51	17
75	52	16
76	53	15
77	54	15
78	54	14
79	55	13
80	55	13
81	56	12
82	56	11
83	57	10
84	57	10
85	58	9
86	59	8
87	59	8
88	60	7
89	60	6
90	61	6
91	62	5
92	62	4
93	63	4
94	63	3
95	64	2
96	64	2
97	65	1
98	65	0
99	66	0
