iter	Passed	Remaining
0	163	163511
1	166	82941
2	168	55940
3	169	42232
4	172	34237
5	174	28956
6	176	25032
7	177	22040
8	178	19690
9	179	17802
10	181	16288
11	182	15058
12	185	14077
13	186	13151
14	189	12423
15	191	11762
16	192	11139
17	194	10604
18	197	10178
19	201	9856
20	205	9592
21	207	9245
22	209	8888
23	211	8585
24	212	8298
25	214	8016
26	215	7754
27	216	7517
28	217	7297
29	219	7085
30	220	6882
31	221	6693
32	223	6543
33	224	6386
34	225	6222
35	226	6069
36	227	5926
37	229	5813
38	231	5698
39	232	5576
40	233	5457
41	235	5363
42	237	5294
43	239	5196
44	241	5118
45	242	5039
46	244	4950
47	245	4862
48	246	4784
49	248	4727
50	250	4654
51	251	4587
52	252	4515
53	253	4447
54	254	4381
55	256	4316
56	257	4259
57	258	4202
58	259	4144
59	260	4088
60	262	4037
61	263	3989
62	265	3943
63	266	3895
64	268	3856
65	270	3820
66	271	3776
67	272	3729
68	273	3687
69	274	3644
70	275	3606
71	277	3572
72	278	3536
73	279	3496
74	280	3457
75	282	3429
76	283	3396
77	284	3365
78	285	3331
79	286	3299
80	288	3274
81	290	3246
82	290	3212
83	291	3182
84	293	3161
85	295	3137
86	296	3108
87	297	3079
88	298	3056
89	300	3035
90	301	3010
91	302	2984
92	303	2957
93	304	2933
94	306	2917
95	307	2896
96	308	2872
97	309	2847
98	310	2826
99	311	2806
100	313	2791
101	314	2771
102	315	2751
103	317	2737
104	319	2721
105	320	2701
106	321	2682
107	322	2665
108	324	2651
109	325	2633
110	326	2615
111	327	2596
112	328	2580
113	330	2565
114	332	2557
115	333	2543
116	334	2527
117	336	2517
118	338	2502
119	338	2485
120	339	2469
121	340	2451
122	342	2441
123	344	2437
124	346	2424
125	347	2412
126	349	2399
127	349	2384
128	351	2372
129	352	2359
130	353	2348
131	356	2343
132	357	2331
133	358	2318
134	360	2307
135	361	2298
136	363	2288
137	364	2277
138	366	2267
139	367	2257
140	368	2244
141	369	2230
142	370	2219
143	371	2209
144	373	2200
145	374	2191
146	375	2179
147	376	2167
148	377	2155
149	379	2149
150	381	2143
151	382	2133
152	383	2124
153	385	2118
154	387	2109
155	388	2100
156	389	2090
157	390	2080
158	392	2073
159	393	2065
160	394	2053
161	395	2044
162	396	2037
163	399	2035
164	400	2028
165	402	2020
166	404	2016
167	406	2011
168	407	2002
169	408	1996
170	410	1990
171	412	1983
172	413	1976
173	414	1968
174	416	1962
175	417	1956
176	419	1949
177	420	1940
178	421	1933
179	422	1925
180	424	1921
181	426	1918
182	428	1911
183	429	1903
184	430	1897
185	432	1891
186	434	1886
187	435	1879
188	436	1873
189	438	1868
190	439	1860
191	440	1855
192	442	1849
193	443	1844
194	445	1838
195	446	1831
196	447	1823
197	448	1817
198	449	1810
199	451	1805
200	453	1802
201	455	1798
202	456	1792
203	457	1786
204	459	1780
205	460	1774
206	461	1767
207	462	1760
208	463	1753
209	465	1749
210	466	1743
211	467	1736
212	468	1730
213	469	1724
214	470	1717
